Company	Type	Total Revenues	Total Assets	Return on Equity	Earnings per Share	Average Yield	Dividends per Share	Average P/E Ratio
AFLAC	6	7251	29454	17.1	2.08	0.9	0.22	11.5
Albertson's	4	14690	5219	21.4	2.08	1.6	0.63	19
Allstate	6	20106	80918	20.1	3.56	1	0.36	10.6
Amerada Hess	7	8340	7935	0.2	0.08	1.1	0.6	698.3
American General	6	3362	80620	7.1	2.19	3	1.4	21.2
American Stores	4	19139	8536	12.2	1.01	1.4	0.34	23.5
Amoco	7	36287	32489	16.7	2.76	3.1	1.4	16.1
Arco Chemical	2	3995	4116	6.2	1.14	6.1	2.8	40.4
Ashland	7	14319	7777	9.5	3.8	2.3	1.1	12.4
Atlantic Richfield	7	19272	25322	21.8	5.41	3.8	2.83	3.8
Bausch & Lomb	5	1916	2773	6	0.89	2.6	1.04	2.6
Baxter International	5	6138	8707	11.5	1.06	2.3	1.13	47.2
Bristol-Myers Squibb	5	16701	14977	44.4	3.14	2	1.52	24.1
Burlington Coat	1	1777	775	12.3	1.18	0.1	0.02	12.9
Central Maine Power	3	954	2299	2.4	0.16	7.8	0.9	79.6
Chevron	7	41950	35473	18.6	4.95	3	2.28	15.2
CIGNA	6	14935	108199	13.7	4.88	2	1.1	11.4
Cinergy	3	4353	8858	13.3	1.59	5.1	1.8	22.4
Dayton Hudson	1	27757	14191	18	1.7	1.2	0.33	16.2
Dillard's	1	6817	5592	9.2	2.31	0.4	0.16	15.7
Dominion Resources	3	7678	20193	7.9	2.15	6.8	2.58	17.7
Dow Chemical	2	20018	24040	23.6	7.7	3.6	3.24	11.6
DPL	3	1356	3585	13.9	1.2	5.3	0.91	14.3
E. I. DuPont DeNemours	2	46653	42942	21.3	2.08	2.1	1.23	27.9
Eastman Chemical	2	4678	5778	16.3	3.63	3	1.76	16
Edison International	3	9235	25101	12.3	1.73	4.2	1	13.6
Engelhard	2	3631	2586	6.1	0.33	1.9	0.38	61.8
Entergy	3	9562	27001	4.2	1.03	6.9	1.8	25.4
Equitable	6	9666	151438	12.3	2.86	0.5	0.2	13.4
Ethyl	7	1064	1067	53.6	0.71	5.6	0.5	12.6
Exxon	7	137242	96064	19.4	3.37	2.8	1.63	17.1
FPL Group	3	6369	12449	12.2	3.57	3.7	1.92	14.4
The GAP	1	6508	3338	33.7	1.3	0.7	0.2	22
