UNRATE	HOUSE	DURATION	SAVINGS
6	1657	16,3	11,2
5,9	1667	15,5	10,6
5,6	1620	15,3	10,3
5,2	1590	14,9	11,1
5,1	1498	14,7	10,6
5	1503	14,9	10,5
5,1	1547	14,3	10,6
5,2	1430	13,7	9,6
5,5	1540	13,7	8,7
5,7	1355	12,9	9,4
5,8	1416	13,1	10
5,3	1601	13,1	10,9
5,2	1460	13,5	11
4,8	1503	13,1	10,6
5,4	1109	13	9,4
5,2	1289	12,6	8,3
5,1	1271	11,9	10,4
5,4	1247	11,9	10,4
5,5	1197	12,6	10,3
5,6	1344	12,2	10,3
5,5	1097	12,9	10
6,1	1246	13,5	9,9
6,1	1246	13,9	9,8
6,6	1063	12,4	10,4
6,6	1183	13,7	11,1
6,9	1226	13,6	11,1
6,9	1312	14,1	10,4
7	1166	15,5	10,6
7,1	1228	15,6	10,7
6,9	1382	16,2	11,5
7	1335	17,3	12
6,6	1312	17	11,7
6,7	1429	16,1	11,3
6,5	1415	15,9	11,6
6,1	1385	17	11,6
6	1365	15,8	11,5
5,8	1361	15,3	11,2
5,5	1278	16	11,7
5,6	1443	15	11,6
5,6	1524	14,9	11,6
5,5	1483	15,5	10,9
5,5	1404	15,1	11,5
5,4	1450	14,6	11,5
5,7	1517	14,5	11,3
5,6	1324	14,1	10,3
5,4	1533	14,1	11,1
5,7	1622	13,3	10,3
5,5	1564	13,6	10,2
5,7	1244	13,8	10,9
5,9	1456	14,1	10,6
5,7	1534	14,5	10,5
5,7	1689	14,5	10,6
5,9	1641	14,5	10,8
5,6	1588	14	10,4
5,6	1614	14	10
5,4	1639	13,9	10,1
5,5	1763	14,2	10,9
5,5	1779	13,9	11,4
5,7	1622	13,3	10,9
5,5	1491	13,3	10,6
5,6	1603	13,5	10,7
5,4	1820	13,2	10,3
5,4	1517	13,5	12
5,3	1448	12,4	12,3
5,1	1467	13,6	11,6
5,2	1550	13,6	11,4
4,9	1562	14,7	11
5	1569	13	11
5,1	1455	12,7	11,7
5,1	1524	12,6	11,1
4,8	1486	14	12,4
5	1484	12,7	12,4
4,9	1361	12,2	12
5,1	1433	12,6	10,6
4,7	1423	12	10,6
4,8	1438	11,4	10,1
4,6	1478	11,1	11,1
4,6	1488	11,6	11,9
4,4	1529	11,6	11,8
4,4	1432	11,9	11,6
4,3	1482	11,9	12,5
4,2	1452	12,1	10,8
4,1	1460	11,7	11,5
4	1656	11,4	11,6
4	1370	11,9	11,2
3,8	1378	11,2	10,9
3,8	1394	11,1	10,5
3,8	1352	10,8	10,2
3,9	1265	10,2	11,1
3,8	1194	9,7	11,3
3,8	1086	9,7	10,8
3,8	1119	9,8	11,1
3,7	1046	10,1	10,8
3,7	843	10,3	11,5
3,6	961	9,7	11,7
3,8	990	9,5	11,5
3,9	1067	9,3	12
3,8	1123	9,2	12,4
3,8	1056	8,9	12,6
3,8	1091	8,8	11,7
3,8	1304	8,7	11,9
3,9	1248	8,3	11,7
3,8	1364	8,3	12,5
3,8	1407	8,9	12,5
3,8	1421	8,4	11,7
4	1491	8,7	12,5
3,9	1538	8,9	12,5
3,8	1308	8,6	12,1
3,7	1380	9,4	11,7
3,8	1520	8,7	12,2
3,7	1466	8,5	11,6
3,5	1554	8,7	12,2
3,5	1408	8,2	12
3,7	1405	7,9	11,6
3,7	1512	8,4	10,6
3,5	1495	8,3	10,4
3,4	1556	8,2	10,4
3,4	1569	8,4	10,6
3,4	1630	8,1	10,4
3,4	1548	8,2	10,9
3,4	1769	8,1	10
3,4	1705	7,9	9,4
3,4	1561	7,9	9,9
3,4	1524	7,9	9,5
3,4	1583	7,9	10
3,5	1528	7,7	10,9
3,5	1368	7,8	11,7
3,5	1358	7,9	11,5
3,7	1507	8	11,5
3,7	1381	7,6	11,3
3,5	1229	8	11,5
3,5	1327	8	11,7
3,9	1085	7,9	11,7
4,2	1305	8	11,6
4,4	1319	8,3	12,3
4,6	1264	8,2	13,3
4,8	1290	8,6	12,3
4,9	1385	8,6	11,7
5	1517	8,9	13,2
5,1	1399	8,8	13,1
5,4	1534	8,9	12,9
5,5	1580	8,7	13
5,9	1647	9,3	13,3
6,1	1893	9,8	12,9
5,9	1828	10,5	13,1
5,9	1741	10,4	13,1
6	1910	10,6	13,3
5,9	1986	10,9	13
5,9	2049	11,2	13,4
5,9	2026	11,6	14,4
6	2083	11,5	13,6
6,1	2158	11,5	13,6
6	2041	11,9	12,9
5,8	2128	12,6	13
6	2182	12	12,8
6	2295	11,5	12,9
5,8	2494	12,1	12,4
5,7	2390	12,4	12,6
5,8	2334	12,3	11,5
5,7	2249	12,4	11,3
5,7	2221	12,3	11,5
5,7	2254	12,4	11,4
5,6	2252	11,8	11,4
5,6	2382	11,8	11,8
5,5	2481	12,1	12
5,6	2485	11,7	12,7
5,3	2421	11,4	13,4
5,2	2366	11,4	13,4
4,9	2481	11	12,1
5	2289	10,5	12,2
4,9	2365	10,6	12,4
5	2084	10	12,8
4,9	2266	10,1	12,8
4,9	2067	9,6	13,2
4,8	2123	9,6	12,8
4,8	2051	9,8	13,6
4,8	1874	9,4	12,8
4,6	1677	10,2	14
4,8	1724	9,9	14
4,9	1526	9,5	14,4
5,1	1451	9,5	14
5,2	1752	9,6	13,8
5,1	1555	9,7	13
5,1	1607	9,8	12,7
5,1	1426	9,6	12,3
5,4	1513	9,7	12,5
5,5	1316	9,9	12,7
5,5	1142	9,8	11,6
5,9	1150	9,6	12,3
6	1070	9,9	13
6,6	1026	9,6	13,4
7,2	975	10,1	13,6
8,1	1032	10,7	12,8
8,1	904	11,7	12,1
8,6	993	11,8	12,3
8,8	1005	12,9	13,9
9	1121	13,4	17
8,8	1087	15,3	13,9
8,6	1226	15	12,3
8,4	1260	15,6	12,6
8,4	1264	16,1	12,6
8,4	1344	15,4	13
8,3	1360	16,6	12,3
8,2	1321	16,5	11,5
7,9	1367	16,6	11,3
7,7	1538	16,3	11,9
7,6	1421	16,5	11,8
7,7	1395	15,9	11,2
7,4	1459	15	11,8
7,6	1495	16,9	10,9
7,8	1401	15,7	11,2
7,8	1550	15,6	11,2
7,6	1720	15,2	10,8
7,7	1629	15,2	10,6
7,8	1641	15,3	10,9
7,8	1804	15,1	9,9
7,5	1527	15,2	9,8
7,6	1943	14,7	8,5
7,4	2063	14,5	9,8
7,2	1892	14,4	9,9
7	1971	14,9	9,8
7,2	1893	14,4	10,2
6,9	2058	14,3	10,1
7	2020	13,9	10,5
6,8	1949	14	10,7
6,8	2042	13,7	10,7
6,8	2042	13,6	10,8
6,4	2142	13,6	11
6,4	1718	12,9	11,4
6,3	1738	12,5	10,7
6,3	2032	12,4	10,5
6,1	2197	12,3	10,3
6	2075	12,1	9,8
5,9	2070	12,1	9,5
6,2	2092	12	10,3
5,9	1996	11,4	9,9
6	1970	11,4	10
5,8	1981	11,7	10,2
5,9	2094	11,1	10
6	2044	10,6	10
5,9	1630	11,1	10,6
